product_name,elasticity,ci_low,ci_high,p_value,n_days,unique_prices,r2
apples kg,-2.4686,-5.6929,0.7558,0.1298,50,6,0.1982
bacon 400g,-1.9782,-3.4873,-0.469,0.0114,50,9,0.2695
bagels 6pk,-2.126,-5.8575,1.6056,0.2568,50,6,0.1003
bananas kg,0.8399,-1.2953,2.9752,0.4317,50,7,0.1001
butter,-3.6062,-6.4142,-0.7982,0.0131,50,6,0.2655
cereal 500g,-2.2413,-4.5185,0.0359,0.0536,50,6,0.1594
cheddar 200g,-3.394,-6.6912,-0.0969,0.0439,50,5,0.1276
chicken breast kg,-1.7948,-3.8255,0.2359,0.0817,50,7,0.1555
coffee 500g,-0.6176,-2.0186,0.7835,0.3788,50,6,0.1137
cola 2L,-2.1717,-5.867,1.5235,0.2423,50,7,0.0978
croissant 4pk,-0.8292,-2.6479,0.9896,0.3628,50,7,0.1281
eggs dozen,-2.302,-5.7694,1.1655,0.1875,50,7,0.104
ground beef kg,-0.7409,-3.6914,2.2095,0.615,50,7,0.1473
milk 2L,-0.7729,-4.1035,2.5577,0.642,50,4,0.2207
olive oil 1L,-1.2717,-3.6783,1.1348,0.2923,50,7,0.2024
orange juice 1L,-2.2008,-6.0103,1.6088,0.2503,50,6,0.0962
pasta 500g,-0.3796,-3.5383,2.7792,0.8096,50,5,0.3724
rice 1kg,-0.6845,-7.7946,6.4255,0.8469,50,6,0.0906
spinach bag,-2.4685,-5.5243,0.5873,0.1105,50,6,0.2353
tomatoes kg,-0.0952,-2.1003,1.9099,0.9242,50,7,0.1649
white bread,-1.3344,-4.7226,2.0539,0.4312,50,7,0.1217
yogurt 4pk,0.2166,-2.219,2.6522,0.8584,50,7,0.1272
